,Username,Date,Score,Review,Deviation from the Mean,Summary,Public_Opinion,Keywords
0,tyler,2024/05/21,5.0,never ever mess with a woman during her buzz cut era,0.72,"This movie, ""Furiosa,"" is a diabolical and epic revenge story set in the post-apocalyptic world of Mad Max. It follows Imperator Furiosa as she leads a group of allies on a dangerous journey across the desert to find a matriarchal eden. The film is praised for its intense action, strong performances, and unique world-building. George Miller's direction is highlighted as masterful, creating a thrilling and visually stunning experience. Fans of the Mad Max series will find this prequel to be a dark, gritty, and satisfying addition to the franchise.","Based on the reviews, it seems that the movie ""Furiosa"" has received mostly positive feedback. Reviewers have praised the film for its intense action sequences, strong performances, and unique world-building. Some have even compared it favorably to its predecessor, ""Fury Road."" However, there are also some criticisms, such as pacing issues and CGI/VFX concerns.

Overall, the average score of 4.28 indicates that public opinion is generally positive towards the movie. Fans of the Mad Max franchise and action-packed films seem to particularly enjoy ""Furiosa.""","- revenge
- action-packed
- post-apocalyptic
- feminist
- epic
- brutal
- intense
- visually stunning
- coming-of-age
- survival
- gritty
- dark
- odyssey
- rage
- power
- desperation
- vengeance
- nonchalant
- diabolical
- surreal
- harrowing
- mythic
- biblical
- flamethrower
- CGI
- VFX
- world-building
- wasteland
- nomad
- motorcycle chase
- emotional
- gritty
- nasty
- Shakespearean
- intense
- chaotic
- giddy
- jaw-dropping
- awe-inspiring
- action opera
- revenge"
2,mariano,2024/05/23,5.0,never seen anyone act so nonchalant after getting their nipples ripped off,0.72,"This movie, ""Furiosa,"" is a diabolical and epic revenge story set in the post-apocalyptic world of Mad Max. It follows Imperator Furiosa as she leads a group of allies on a dangerous journey across the desert to find a matriarchal eden. The film is praised for its intense action, strong performances, and unique world-building. George Miller's direction is highlighted as masterful, creating a thrilling and visually stunning experience. Fans of the Mad Max series will find this prequel to be a dark, gritty, and satisfying addition to the franchise.","Based on the reviews, it seems that the movie ""Furiosa"" has received mostly positive feedback. Reviewers have praised the film for its intense action sequences, strong performances, and unique world-building. Some have even compared it favorably to its predecessor, ""Fury Road."" However, there are also some criticisms, such as pacing issues and CGI/VFX concerns.

Overall, the average score of 4.28 indicates that public opinion is generally positive towards the movie. Fans of the Mad Max franchise and action-packed films seem to particularly enjoy ""Furiosa.""","- revenge
- action-packed
- post-apocalyptic
- feminist
- epic
- brutal
- intense
- visually stunning
- coming-of-age
- survival
- gritty
- dark
- odyssey
- rage
- power
- desperation
- vengeance
- nonchalant
- diabolical
- surreal
- harrowing
- mythic
- biblical
- flamethrower
- CGI
- VFX
- world-building
- wasteland
- nomad
- motorcycle chase
- emotional
- gritty
- nasty
- Shakespearean
- intense
- chaotic
- giddy
- jaw-dropping
- awe-inspiring
- action opera
- revenge"
3,James (Schaffrillas),2024/05/24,4.0,"Sickest damn revenge I've ever seen in a movie. Diabolical.   Shoutout to that guy at the Cinemark who recognized me! I would say you made my day, but like, I watched Furiosa right after soooooo",-0.28,"This movie, ""Furiosa,"" is a diabolical and epic revenge story set in the post-apocalyptic world of Mad Max. It follows Imperator Furiosa as she leads a group of allies on a dangerous journey across the desert to find a matriarchal eden. The film is praised for its intense action, strong performances, and unique world-building. George Miller's direction is highlighted as masterful, creating a thrilling and visually stunning experience. Fans of the Mad Max series will find this prequel to be a dark, gritty, and satisfying addition to the franchise.","Based on the reviews, it seems that the movie ""Furiosa"" has received mostly positive feedback. Reviewers have praised the film for its intense action sequences, strong performances, and unique world-building. Some have even compared it favorably to its predecessor, ""Fury Road."" However, there are also some criticisms, such as pacing issues and CGI/VFX concerns.

Overall, the average score of 4.28 indicates that public opinion is generally positive towards the movie. Fans of the Mad Max franchise and action-packed films seem to particularly enjoy ""Furiosa.""","- revenge
- action-packed
- post-apocalyptic
- feminist
- epic
- brutal
- intense
- visually stunning
- coming-of-age
- survival
- gritty
- dark
- odyssey
- rage
- power
- desperation
- vengeance
- nonchalant
- diabolical
- surreal
- harrowing
- mythic
- biblical
- flamethrower
- CGI
- VFX
- world-building
- wasteland
- nomad
- motorcycle chase
- emotional
- gritty
- nasty
- Shakespearean
- intense
- chaotic
- giddy
- jaw-dropping
- awe-inspiring
- action opera
- revenge"
4,davidehrlich,2024/05/15,4.5,"You can’t unkill the world. Charlize Theron’s Imperator Furiosa learned that lesson the hard way when she commandeered a rig full of Immortan Joe’s precious war brides and sped across the desert towards the matriarchal eden from which she was stolen as a child. She and her motley crew of reluctant allies drove as far as the highways of Valhalla would take them, only to discover that the Green Place of Many Mothers wasn’t beyond the uninhabitable swampland they had…",0.22,"This movie, ""Furiosa,"" is a diabolical and epic revenge story set in the post-apocalyptic world of Mad Max. It follows Imperator Furiosa as she leads a group of allies on a dangerous journey across the desert to find a matriarchal eden. The film is praised for its intense action, strong performances, and unique world-building. George Miller's direction is highlighted as masterful, creating a thrilling and visually stunning experience. Fans of the Mad Max series will find this prequel to be a dark, gritty, and satisfying addition to the franchise.","Based on the reviews, it seems that the movie ""Furiosa"" has received mostly positive feedback. Reviewers have praised the film for its intense action sequences, strong performances, and unique world-building. Some have even compared it favorably to its predecessor, ""Fury Road."" However, there are also some criticisms, such as pacing issues and CGI/VFX concerns.

Overall, the average score of 4.28 indicates that public opinion is generally positive towards the movie. Fans of the Mad Max franchise and action-packed films seem to particularly enjoy ""Furiosa.""","- revenge
- action-packed
- post-apocalyptic
- feminist
- epic
- brutal
- intense
- visually stunning
- coming-of-age
- survival
- gritty
- dark
- odyssey
- rage
- power
- desperation
- vengeance
- nonchalant
- diabolical
- surreal
- harrowing
- mythic
- biblical
- flamethrower
- CGI
- VFX
- world-building
- wasteland
- nomad
- motorcycle chase
- emotional
- gritty
- nasty
- Shakespearean
- intense
- chaotic
- giddy
- jaw-dropping
- awe-inspiring
- action opera
- revenge"
5,George Carmi,2024/05/20,5.0,"Oh my god. That is such a good movie. That is so fucking crazy.   Furiosa is so fucking insane and the smile that ran across my face for 2.5 hours straight has left my cheeks hurting. It’s so much fun, it’s so massive, it’s surprisingly hilarious. An “origin” story for the ages. I love Fury Road with all my heart. Truly one of my 5 favorite films ever. Never in a million years did I think Furiosa would live…",0.72,"This movie, ""Furiosa,"" is a diabolical and epic revenge story set in the post-apocalyptic world of Mad Max. It follows Imperator Furiosa as she leads a group of allies on a dangerous journey across the desert to find a matriarchal eden. The film is praised for its intense action, strong performances, and unique world-building. George Miller's direction is highlighted as masterful, creating a thrilling and visually stunning experience. Fans of the Mad Max series will find this prequel to be a dark, gritty, and satisfying addition to the franchise.","Based on the reviews, it seems that the movie ""Furiosa"" has received mostly positive feedback. Reviewers have praised the film for its intense action sequences, strong performances, and unique world-building. Some have even compared it favorably to its predecessor, ""Fury Road."" However, there are also some criticisms, such as pacing issues and CGI/VFX concerns.

Overall, the average score of 4.28 indicates that public opinion is generally positive towards the movie. Fans of the Mad Max franchise and action-packed films seem to particularly enjoy ""Furiosa.""","- revenge
- action-packed
- post-apocalyptic
- feminist
- epic
- brutal
- intense
- visually stunning
- coming-of-age
- survival
- gritty
- dark
- odyssey
- rage
- power
- desperation
- vengeance
- nonchalant
- diabolical
- surreal
- harrowing
- mythic
- biblical
- flamethrower
- CGI
- VFX
- world-building
- wasteland
- nomad
- motorcycle chase
- emotional
- gritty
- nasty
- Shakespearean
- intense
- chaotic
- giddy
- jaw-dropping
- awe-inspiring
- action opera
- revenge"
6,SilentDawn,2024/05/23,5.0,"100  Takes the chassis of its predecessor and re-configures the components into something altogether mournful and brutalizing - by turns a surreal and harrowing survival epic. George Miller creates a Mad Max prequel not just out of sand and gasoline, but the remnants of memory. A lost Eden is the basis for ruthless revenge, wasteland squabbles, and mythic grandeur, with Furiosa's biblical backstory setting the table for the precise action poeticism of Fury Road. I can't imagine either film without…",0.72,"This movie, ""Furiosa,"" is a diabolical and epic revenge story set in the post-apocalyptic world of Mad Max. It follows Imperator Furiosa as she leads a group of allies on a dangerous journey across the desert to find a matriarchal eden. The film is praised for its intense action, strong performances, and unique world-building. George Miller's direction is highlighted as masterful, creating a thrilling and visually stunning experience. Fans of the Mad Max series will find this prequel to be a dark, gritty, and satisfying addition to the franchise.","Based on the reviews, it seems that the movie ""Furiosa"" has received mostly positive feedback. Reviewers have praised the film for its intense action sequences, strong performances, and unique world-building. Some have even compared it favorably to its predecessor, ""Fury Road."" However, there are also some criticisms, such as pacing issues and CGI/VFX concerns.

Overall, the average score of 4.28 indicates that public opinion is generally positive towards the movie. Fans of the Mad Max franchise and action-packed films seem to particularly enjoy ""Furiosa.""","- revenge
- action-packed
- post-apocalyptic
- feminist
- epic
- brutal
- intense
- visually stunning
- coming-of-age
- survival
- gritty
- dark
- odyssey
- rage
- power
- desperation
- vengeance
- nonchalant
- diabolical
- surreal
- harrowing
- mythic
- biblical
- flamethrower
- CGI
- VFX
- world-building
- wasteland
- nomad
- motorcycle chase
- emotional
- gritty
- nasty
- Shakespearean
- intense
- chaotic
- giddy
- jaw-dropping
- awe-inspiring
- action opera
- revenge"
7,CinemaJoe,2024/05/15,4.5,"A movie that makes you feel like you can run through a brick wall, heavy metal cinema. Has all the fire & brimstone of Fury Road but this time it’s baked into a coming-of-age revenge epic. So much of the movie’s beauty is in its ability to balance the frenzy with the tender— Furiosa as a harbinger of pain and Furiosa as a beacon of hope.   That is not to say Furiosa abandons the joys of the screeching inferno of colliding steel, there’s plenty…",0.22,"This movie, ""Furiosa,"" is a diabolical and epic revenge story set in the post-apocalyptic world of Mad Max. It follows Imperator Furiosa as she leads a group of allies on a dangerous journey across the desert to find a matriarchal eden. The film is praised for its intense action, strong performances, and unique world-building. George Miller's direction is highlighted as masterful, creating a thrilling and visually stunning experience. Fans of the Mad Max series will find this prequel to be a dark, gritty, and satisfying addition to the franchise.","Based on the reviews, it seems that the movie ""Furiosa"" has received mostly positive feedback. Reviewers have praised the film for its intense action sequences, strong performances, and unique world-building. Some have even compared it favorably to its predecessor, ""Fury Road."" However, there are also some criticisms, such as pacing issues and CGI/VFX concerns.

Overall, the average score of 4.28 indicates that public opinion is generally positive towards the movie. Fans of the Mad Max franchise and action-packed films seem to particularly enjoy ""Furiosa.""","- revenge
- action-packed
- post-apocalyptic
- feminist
- epic
- brutal
- intense
- visually stunning
- coming-of-age
- survival
- gritty
- dark
- odyssey
- rage
- power
- desperation
- vengeance
- nonchalant
- diabolical
- surreal
- harrowing
- mythic
- biblical
- flamethrower
- CGI
- VFX
- world-building
- wasteland
- nomad
- motorcycle chase
- emotional
- gritty
- nasty
- Shakespearean
- intense
- chaotic
- giddy
- jaw-dropping
- awe-inspiring
- action opera
- revenge"
8,Bryan Espitia,2024/05/23,4.0,"The boys are all here: Scrotus, Toe Jam, Chumbucket, and of course, Pissboy",-0.28,"This movie, ""Furiosa,"" is a diabolical and epic revenge story set in the post-apocalyptic world of Mad Max. It follows Imperator Furiosa as she leads a group of allies on a dangerous journey across the desert to find a matriarchal eden. The film is praised for its intense action, strong performances, and unique world-building. George Miller's direction is highlighted as masterful, creating a thrilling and visually stunning experience. Fans of the Mad Max series will find this prequel to be a dark, gritty, and satisfying addition to the franchise.","Based on the reviews, it seems that the movie ""Furiosa"" has received mostly positive feedback. Reviewers have praised the film for its intense action sequences, strong performances, and unique world-building. Some have even compared it favorably to its predecessor, ""Fury Road."" However, there are also some criticisms, such as pacing issues and CGI/VFX concerns.

Overall, the average score of 4.28 indicates that public opinion is generally positive towards the movie. Fans of the Mad Max franchise and action-packed films seem to particularly enjoy ""Furiosa.""","- revenge
- action-packed
- post-apocalyptic
- feminist
- epic
- brutal
- intense
- visually stunning
- coming-of-age
- survival
- gritty
- dark
- odyssey
- rage
- power
- desperation
- vengeance
- nonchalant
- diabolical
- surreal
- harrowing
- mythic
- biblical
- flamethrower
- CGI
- VFX
- world-building
- wasteland
- nomad
- motorcycle chase
- emotional
- gritty
- nasty
- Shakespearean
- intense
- chaotic
- giddy
- jaw-dropping
- awe-inspiring
- action opera
- revenge"
10,matt lynch,2024/05/16,4.5,"""Do you have it in you to make it epic?""  The pristine formal and narrative economy of FURY ROAD almost feels like a millstone that's given way to this phantasmagorical, extravagant, messy action opera. Dr. Miller is on a whole other level than just about everyone else.",0.22,"This movie, ""Furiosa,"" is a diabolical and epic revenge story set in the post-apocalyptic world of Mad Max. It follows Imperator Furiosa as she leads a group of allies on a dangerous journey across the desert to find a matriarchal eden. The film is praised for its intense action, strong performances, and unique world-building. George Miller's direction is highlighted as masterful, creating a thrilling and visually stunning experience. Fans of the Mad Max series will find this prequel to be a dark, gritty, and satisfying addition to the franchise.","Based on the reviews, it seems that the movie ""Furiosa"" has received mostly positive feedback. Reviewers have praised the film for its intense action sequences, strong performances, and unique world-building. Some have even compared it favorably to its predecessor, ""Fury Road."" However, there are also some criticisms, such as pacing issues and CGI/VFX concerns.

Overall, the average score of 4.28 indicates that public opinion is generally positive towards the movie. Fans of the Mad Max franchise and action-packed films seem to particularly enjoy ""Furiosa.""","- revenge
- action-packed
- post-apocalyptic
- feminist
- epic
- brutal
- intense
- visually stunning
- coming-of-age
- survival
- gritty
- dark
- odyssey
- rage
- power
- desperation
- vengeance
- nonchalant
- diabolical
- surreal
- harrowing
- mythic
- biblical
- flamethrower
- CGI
- VFX
- world-building
- wasteland
- nomad
- motorcycle chase
- emotional
- gritty
- nasty
- Shakespearean
- intense
- chaotic
- giddy
- jaw-dropping
- awe-inspiring
- action opera
- revenge"
11,zoë rose bryant,2024/05/23,4.5,CHRIST HEMSWORTH,0.22,"This movie, ""Furiosa,"" is a diabolical and epic revenge story set in the post-apocalyptic world of Mad Max. It follows Imperator Furiosa as she leads a group of allies on a dangerous journey across the desert to find a matriarchal eden. The film is praised for its intense action, strong performances, and unique world-building. George Miller's direction is highlighted as masterful, creating a thrilling and visually stunning experience. Fans of the Mad Max series will find this prequel to be a dark, gritty, and satisfying addition to the franchise.","Based on the reviews, it seems that the movie ""Furiosa"" has received mostly positive feedback. Reviewers have praised the film for its intense action sequences, strong performances, and unique world-building. Some have even compared it favorably to its predecessor, ""Fury Road."" However, there are also some criticisms, such as pacing issues and CGI/VFX concerns.

Overall, the average score of 4.28 indicates that public opinion is generally positive towards the movie. Fans of the Mad Max franchise and action-packed films seem to particularly enjoy ""Furiosa.""","- revenge
- action-packed
- post-apocalyptic
- feminist
- epic
- brutal
- intense
- visually stunning
- coming-of-age
- survival
- gritty
- dark
- odyssey
- rage
- power
- desperation
- vengeance
- nonchalant
- diabolical
- surreal
- harrowing
- mythic
- biblical
- flamethrower
- CGI
- VFX
- world-building
- wasteland
- nomad
- motorcycle chase
- emotional
- gritty
- nasty
- Shakespearean
- intense
- chaotic
- giddy
- jaw-dropping
- awe-inspiring
- action opera
- revenge"
