,Username,Date,Score,Review,Deviation from the Mean
0,russman,2016/05/06,4.0,My ranking of the frog's many names:  1. Doctor Cucumber 2. Benjamin Franklin 3. Ronald 4. Kitty 5. George Washington 6. Jason Funderburker  7. Mr. President 8. Skipper 9. Wirt Jr. 10. Greg Jr.,0.69
1,Karst,2021/09/26,5.0,the best shows are those where a charming character is named “Greg”,0.31
2,Karst,2021/10/26,5.0,frog names ranked:  10. Skipper 9. Ronald 8. Greg Jr. 7. Doctor Cucumber 6. Wirt 5. George Washington 4. Jason funderburker 3. Benjamin Franklin 2. Mr. President 1. kitty,0.31
3,Lucy,2020/10/29,4.5,SO WE CAME HERE TO BURGLE YOUR TURTS,0.19
4,𝐇𝐞𝐚𝐭𝐡𝐞𝐫 🌷,2020/09/15,4.5,"Oh, Potatoes 🥔 and Molasses! 🕺🏻💃🏻 If you want some, 🤲 oh just ask us 💬 There're 🔥warm and soft like puppies🐶 and socks🧦 Filled with cream🍨and candy rocks🍬 Oh, Potatoes🥔 and Molasses!🕺🏻💃🏻 They're so much 🍭sweeter than algebra 🔢 class If your stomach 😋 is 😋 grumbling 😋 And your mouth 👄 starts mumbling 🗣 There's only one thing 1️⃣to keep your brain 🧠 from crumbling Oh, Potatoes🥔 and Molasses!🕺🏻💃🏻 If you ❌ can't see 'em 👁👁 put on…",0.19
5,cookie,2020/03/07,5.0,jason funderburker you’re nothing,0.31
8,demi adejuyigbe,2021/11/02,5.0,"I always forget that Greg is the absolute platonic ideal of a character to me. Just perfect in every way. Can’t think of a show that wouldn’t be approved with his addition!   “You can hold my hand Jason Funderberker, I don’t care.”",0.31
9,Karst,2020/09/18,5.0,I want the opossum with the human-like shoulders in episode 3. He’s so good at guitar. Give him a spinoff already!!! Cmon!!,0.31
10,ele 🪷,2018/04/09,4.0,wirt just wanted to give his girl a mixtape of his poetry and him playing the clarinet and I want him to know that I support him,0.69
11,˗ˏˋ suspirliam ˊˎ˗,2018/08/16,4.0,can we get more dark and spooky yet emotional and beautiful animated masterpieces like this please !!!,0.69
