,Username,Date,Score,Review,Deviation from the Mean
0,gunshotglitter,2017/03/05,4.5,o nome em inglês do filme é o testamento da cachorra.,0.75
3,isabela,2019/04/20,5.0,chicó ressuscitando top 10 maiores atos do cinema,1.25
4,giovana :),2020/01/03,5.0,i genuinely feel sorry for every person who ever tries to watch this movie and yet does not speak portuguese because i am pretty sure that all jokes probably get lost when translated so therefore this movie loses all it's brilliant dialogue and becomes not funny. i am sorry you are all missing a masterpiece 🥺 anyway selton mello me namora por favor e me perdoa por demorar tanto pra assistir essa obra de arte 😔🤟🏻,1.25
5,Maxton,2020/03/25,5.0,"- “I know I’m poor.” - “I don’t care about that, Chicó! But if you at least had a degree!” - “I’m a PhD in hidden sciences, dramatic philosophy, dogmatic biology, charlatanic perversion, electronic astrology.”  the first half of this film is a slapstick masterpiece, like an adult, live-action version of Looney Tunes or Emperor’s New Groove with religious undertones. the entire cast is colorful, magnetic, and impossible to hate, and familiar tropes are turned on their head brilliantly. and THEN the religious undertones…",1.25
6,Darren Carver-Balsiger,2020/07/17,3.0,"Humour is super subjective and varies a lot between cultures. Different points of reference inevitably make comedy hard to translate. So watching comedy films from other countries is very unpredictable. Sometimes things click and other times they don't. As a Brit, I even find American comedy quite different in emphasis and style than British comedy. So this then leads me to A Dog's Will, one of the most popular and beloved Brazilian films of all time. It has very little…",-0.75
7,amanda,2022/05/25,5.0,"— Fui logo dizendo ""I love you"" e ela se derreteu todinha... — I love you? — É. Quer dizer morena em francês.",1.25
8,Chris 🍉,2018/04/12,5.0,ok .... this was honestly one of the funniest things ive ever seen and then fernanda montenegro showed up and i started crying so... in short? a masterpiece,1.25
9,SilentDawn,2020/08/03,4.0,"78  Gosh, this is just furiously fast-paced, isn't it? Especially in a few key moments, I had to rewind just to catch up, mostly because I was laughing at one joke for a little too long. It's quite funny - often to the point of becoming manic: exploding off the screen because it can't quite control the breakneck pacing of its epic canvas. It works in its favor, though, eventually coalescing into a mixture of sublime character moments and satirical,…",0.25
10,Will,2020/04/24,2.0,Why on earth is this number 8 on the Official Top 250 Narrative Feature Films list!?!  It's not... good.,-1.75
11,😿Andrew Chrzanowski😿,2019/05/19,1.0,"☆""If people died of stupidity, you'd be long gone.""☆  Sometimes, things just don't translate well.  I don't mean literally, although that is also true I suppose. I mean in a cultural sense, in a sense that unless you are truly part of a heritage or a peoples, you may not understand references or nuances or even perhaps an entire story. Or, a much loved film, one that is in fact the highest-grossing movie in one country's cinematic history.   And thus…",-2.75
12,james💫,2020/04/15,4.5,Brazilians stay winning,0.75
13,Zegan,2021/04/11,3.5,Only Brazilian people will understand.,-0.25
14,Drew,2020/05/08,4.5,"Coronavirus Quarantine Film #37   Every once in a while, a strange phenomenon occurs on Letterboxd. Maybe it was Into the Spider-verse subverting everyone’s expectations by taking over as the highest-rated animated film of all time out of nowhere. Or, more notably, Parasite edging out The Godfather as the highest-rated film on the whole entire site. However, maybe the longest-running anomaly on the website piqued my interest. Nearly every time I visited the Letterboxd Top 250, I noticed the steady rise…",0.75
15,cinemacl🎃wn,2020/06/15,2.0,"The only reason A Dog's Will (O Auto da Compadecida) even surfaced on my radar is coz of its inexplicably high position on Letterboxd Top 250 list. The film doesn't have much of an international presence yet it appears to be held in high regard by Brazil's local audience and is supposedly a staple amongst their most beloved feature films.  For an outsider like me however, this was a chore. Cheap production value, over-the-top characters, exaggerated acting & an onslaught of…",-1.75
16,talita,2020/11/01,5.0,"CINEMA. pra sempre o maior e melhor, poderia assistir todo dia que seria como a primeira vez. nenhum está a cima deste!",1.25
17,Zenzão,2023/06/19,5.0,"""A cachorra cumpriu sua sentença. Encontrou-se com o único mal irremediável, aquilo que é a marca de nosso estranho destino sobre a terra, aquele fato sem explicação, que iguala tudo o que é vivo num só rebanho de condenados. Porque tudo o que é vivo morre.""",1.25
18,Shivam,2020/05/19,0.5,"Not a fan of this at all, didn't work for me in any way sadly",-3.25
19,maria eduarda,2019/09/28,5.0,pra cachorra bife passado na manteiga e pra chicó fome,1.25
20,Graham,2020/06/21,3.0,"I tried. I really did.  OK, so having done a bit of research to reconcile the almost universally high ratings for this Brazilian movie to the experience I just had, I think I now get it.  Basically, as a non-Portuguese speaker... all of the funny stuff is entirely lost in translation. The subtitles entirely removed all of the nuance from the language and therefore, the comedy.  It's equivalent to watching Monty Python's Life of Brian in Swahili I guess. ""He…",-0.75
21,Will Steele,2021/06/24,3.0,"Once upon a time in California, I was privy to an invaluable lesson in cultural exchange. My friend and I presented the British satire Brass Eye to a group of American college students. The reception was one of deafening silence. Any notion of laughter was promptly replaced with quiet confusion. Our absolute favourite comedy show was void of comedic value to this particular audience.  Only now do I know just how those college students felt. A Dog’s Will plays like…",-0.75
22,ZombAid,2019/02/19,2.0,"Avoiding Hell,  at all cost!  Okay, what happened here?  Sure, it has some funny moments.  But overall it's just a comedy with no surprises, 2 half decent Main Actors and not much else. The absurdity is played out to the max and the jokes are mostly juvenile humor I'm used to, from the 80s.  And the overall message I got here, was live a good life and give all the money to the church, being poor is better anyway... So…",-1.75
23,petestavsf,2022/08/22,1.5,uh......  ➡️Filmes Nacionais rankeados,-2.25
25,Stephen Gillespie,2021/02/07,4.0,"A delightful comedy full of sly details and endearing nonsense. A cultural sensation in Brazil, and seemingly very culturally specific in ways that are lost on me. However, there is a relentless charm and invention here that can appeal to all.  Matheus Nachtergaele‘s performance as Jack the Cricket is sublime. He’s a great physical comedian and uses creativity and quick with in increasingly imaginative scenarios. There is a decent amount of word play but it is the farcical set pieces…",0.25
26,Viren,2023/12/16,4.5,"Surprisingly Enjoyable!  A total gem that mixes humor, drama, and a bit of a reality check. Directed by Guel Arraes, it's based on Ariano Suassuna's play and brings Brazilian culture to life in the quirkiest way possible with its colorful characters and satirical narrative.  Beyond the laughs, 'O Auto da Compadecida' delves into social issues, offering a poignant critique of societal hypocrisy and injustice. The character dynamics, combined with the film's unique blend of folklore and satire, make it a…",0.75
27,jean,2020/09/15,5.0,"""Encontrou-se com o único mal irremediável, aquilo que é a marca de nosso estranho destino sobre a terra, aquele fato sem explicação que iguala tudo o que é vivo num só rebanho de condenados, porque tudo o que é vivo, morre.""",1.25
28,{Todd},2021/05/07,2.0,"""I do not know, I just know that was this way."" -Chico,   Good for them.   Never in my life have I been more confused or felt more disconnected from a critically acclaimed comedy. I'm glad people really enjoy this but for me it was like a trip to the dentist. I have been told that it is a film where understanding Brazilian culture is essential so I assume that's the problem because I did have issues with the content, never feeling like I was completely in on the joke.   Sure it's just not for me.",-1.75
29,maiara,2020/10/20,5.0,que tristeza que deve ser não nascer no brasil e não poder apreciar uma obra de arte dessas em sua totalidade,1.25
31,jaystevens,2021/08/23,3.5,"Ok its pretty good but it's also rated higher than -shawshank -spiderverse -inglourious basterds -empires strikes back -spirited away -godfather 3 -SHREK 2!!!!!! -a silent voice -h8ful 8 -se7en -tsn -la la land -interstellar -little miss sunshine -megamind -ratatouille -paddington 2 -back to the future -your name -fight club (haven't seen) -do the right thing -casablanca -every mission impossible movie -raiders of the lost ark -central station -goodfellas -shutter island -inception -the prestige  On a side note, now I've seen 6/10 of the letterboxd top 10! Yay!",-0.25
32,Jack Moulton,2018/12/01,2.5,"This is on the Letterboxd top 250 but it's kind of unbearably amateur. Maybe some charm in Brazil, but not for me. I'm not one for overtly religious stories unless they're done very well anyway.  I think I'll wait on a new restoration because obviously the version I watched was fairly low quality and apparently the English subtitles aren't great. I'll give it another chance later on.",-1.25
34,Rashid N.,2020/12/14,1.5,One of the most hotly divided films in the film community has to be the Brazilian comedy A Dog's Will which is currently available on Vimeo for free and with English subtitles.  There seems to be two type of people when discussing this feature and these two are the Brazilians who adore this film because it means a lot to them and the others who are unable to enjoy this film since it gets lost in translation yet they still…,-2.25
35,Rory,2020/01/01,0.5,"You know I wanted to start 2020 with a good movie, so I thought I would pick a foreign movie I knew very little about with a 4.4 average rating on Letterboxd.com as a movie to start.                              I was wrong.",-3.25
36,🌻 lindsay 🌻,2020/06/04,3.0,easily the weirdest installment in the dog’s purpose franchise but probably not the worst. I thought it was kinda funny,-0.75
37,Rodrigo Homsi,2023/06/25,5.0,"Já visto anteriormente e não catalogado, não revisto porque esse é daqueles que grudam na memória, o erro foi não ter registrado antes. Uma minissérie televisiva que virou filme. O potencial era tão grande que mesmo editado se tornou um sucesso no cinema. Um casamento perfeito entre roteiro e atores, uma comédia brasileira única. Ariano Suassuna criou algo muito especial quando escreveu essa peça.",1.25
39,evilbjork,2020/06/03,1.5,"My deepest apologizes to Brazil. I'm from the US so that pretty much explains it all as to why I didn't like it. Although a huge amount of my favorite films come from a variety of cultures and time periods, this is nearly impossible to understand. It simply doesn't cross the cultural divide.",-2.25
40,gio,2020/06/21,5.0,"queria ter a perspicácia de joão grilo, esse com certeza passaria no enem",1.25
41,IvanBatista,2023/08/06,5.0,"Dia desses, enquanto passeava pela tela inicial do YouTube, me deparo com 'O Auto da Compadecida'. Surpreso, por não ser do YouTube Filmes (pago), cliquei e fiquei estarrecido com a boa qualidade de imagem. Foi aí que resolvi reassistir o que, para mim, é um dos maiores atos do cinema brasileiro. Não canso de dizer que é meu favorito, principalmente por ter marcado minha infância.  Gostaria de saber o porquê a média se encontra em 3,9, no Letterboxd, sendo que…",1.25
42,ké,2022/11/04,5.0,alguem traduz? o idioma está em OBRA PRIMA,1.25
43,Game Player,2021/01/20,0.5,"I don't understand how this is on the 9th spot on the letterboxd ""top 250 Narrative Features."" If you go and read the reviews of people who rated this 5/5 they are mostly in Portugese, no shock there. Is this a cultural thing? This movie shows that if enough people rate a shit movie 5/5 it can somehow get on the letterboxd top 250 list. Please go and rate ""Cool Cat Saves the Kids"" because even that movie was more entertaining than this garbage.",-3.25
44,louferrigno,2019/07/15,2.0,"Among the night terrors that go on in the comment section of Letterboxd's top 250 Narrative films of all time (such recent highlights include people not understanding how an average works and complaining they're favorite film isn't on it, people complaining that there are non-American films on that list, numerous debates over whether or not Into the Spider-Verse really is one the best films ever made, and incels. Someone best described it as a ""hellish cesspool"", and that's a pretty…",-1.75
45,DIREKTIONZ,2020/06/01,1.5,“A Dog’s Will” or “O Auto da Compadecida” is a Brazilian film by Guel Arraes. It’s the 8th highest rated film on letterboxd so I was genuinely curious about this film and why it’s considered a masterpiece and after I watched it I can definitely say that I’m as curious as before. I’m actually even more confused what’s going on with this film. Why do people love this so much?  Trying to understand the appeal of this film I did…,-2.25
46,𐙚.ᐟ Nick ᡣ𐭩.ᐟ🐧,2024/01/24,5.0,"filme que minha família inteira já assistiu,menos eu",1.25
47,Prabhu,2023/06/07,4.5,"4.6⭐ - ""Oh, I love a tough man!""🤣  This is one of the Most Brilliant & Hilarious Comedy Movies Ever!❤️😂  I was seriously sad that I didn't know Portuguese/Latin language, while watching this movie. Every actors/actresses had done a phenomenal job with their acting and with their body language while delivering the dialogues. Especially Grilo, Dora & Chico are impeccable with their body language and their way of speaking the dialogues. Seriously I really wanted to know Portuguese language so that I…",0.75
48,Puffin,2019/10/24,3.0,"Letterboxd Season Challenge: Week 6 — South American Cinema  When the year began, A Dog's Will was hovering around the #50 spot on the Letterboxd Top 250. Currently, it stands at #20 (Earlier this week, it stood at #19.) Of all the films I will review as a part of this season challenge, A Dog's Will is the highest rated on the whole website. Three Colors: Red, Raging Bull, An Autumn Afternoon, Nostalgia, Network, and more... all lesser in rating.…",-0.75
49,gustavo,2020/05/26,5.0,dona dora uma mulher inteligente uma mulher evoluída uma mulher bandida ela eh quem eu quero ser quando crescer... não bastando aquele tesão do padeiro ainda ficou com chicó that’s my aesthetic that’s my goal that’s what i want to achieve! ps: a representação mais linda e carismática que ja vi de jesus e nossa senhora por um segundo considerei me converter ao catolicismo,1.25
50,GlennGGM,2021/09/08,4.5,"so this film is such a joy! it is so much fun and so silly but I love it. I don't think it deserves to be one of the highest films on letterboxd but it was certainly a brilliant watch and one of the most entertaining I've ever seen. it's almost like a comedic The Seventh Seal. It's Week 6 for film club (still haven't watched week 5, In The Name Of The Father.)   Overall: 9.6/10",0.75
51,Stringer Bell,2023/02/04,2.5,"Well, today I learned Letterboxd's top 250 can't be trusted. (I knew this already but this is one of the more baffling entries to hit the top 5)  Over the top and silly. It gets points for being pretty original but I think this probably works better as a play or series. Too much is lost in translation and while I can appreciate the cultural appeal and significance, this has way too much of a low budget feel and hokey execution for me to enjoy it.  Not even in the top 150 films I've seen in 2023.",-1.25
52,Christian Ryan,2021/07/30,3.5,"Remember that 2015 MLB All-Star vote, when 8 out of 9 starting positions were at one time slotted with players from the Kansas City Royals? People said it tarnished the system's credibility; they said it made baseball look dumb - and yeah, it probably did - but as a dyed-in-the-wool Royal's fan, I couldn't care less what they said. I had no problem with the ballots being stuffed with players I loved. We hadn't broken any rules, just exploited the…",-0.25
53,Maximilian Rønseth,2020/08/05,2.5,"To be fair, you have to have a very high IQ to understand A Dog's Will. The humour is extremely subtle, and without a solid grasp of brazillian culture most of the jokes will go over a typical viewer's head. There's also Jack's nihilistic outlook, which is deftly woven into his characterisation- his personal philosophy draws heavily from Narodnaya Volya literature, for instance. Brazillians understand this stuff; they have the intellectual capacity to truly appreciate the depths of these jokes,…",-1.25
54,Jason Huang (黃擎元),2021/07/27,1.5,"Honestly pretty hard to sit through. There's no dramatic core to the film, and I couldn't really resonate with the humor. That being said, I understand (from a lot of the reviews here) that it's mainly a cultural thing and that a lot was lost in translation. Just wasn't for me though.  It's weird that the film begins with people holding a The Passion of the Christ poster though. I thought that film came out like... four years later than this film.  Probably would have never heard of this film if it weren't for this website.",-2.25
55,tor,2023/11/28,5.0,"""num sei, só sei que foi assim.""  e bem aqui o cinema brasileiro foi criado, com joão grilo e chicó sendo os primeiros mentirosos do brasil",1.25
56,girlsonfilm,2023/05/23,5.0,O testamento da caxorra (com x não é pecado) enterrada em latim KKKKKKKKKKKKKKKKKMKKKKK,1.25
57,Ian,2020/01/09,5.0,"Isso é hora de chegar numa casa de rexpeito? Aqui você num entra nem com a mulesta do cachorro doido, vai dormir é na rua pra todo mundo conhecer a qualidade de mulher traidora que você é.",1.25
58,Noah Thompson,2021/04/13,3.5,"Bless the bitch?  Perhaps the most controversial film to be featured on Letterboxd's Top 250. I had little to no expectations going into this, because I had no clue what I would make of it. I can thankfully say I found this to be a fun film. One of the best ever made? Not remotely if you ask me, but I recognize that I'm not its target audience. A Dog's Will made me think of, to name a few artists…",-0.25
59,fatpie42,2018/06/10,5.0,"Best thing: There are so many great characters, but a farcical sequence where the baker's wife finds she has double-booked her lovers is absolutely hilarious.  Worst thing: While I think it works just fine this does go VERY Catholic towards the end. Even then, however, the jokes keep coming.  When I was looking through most popular movies on Letterboxd, this one came up. Most reviewers seem to be from Brazil and my one Letterboxd friend who had even seen it…",1.25
60,Taylor Leverage,2023/07/02,4.0,"You can always call on black Jesus.   Still not entirely sure why Letterboxd considers this film to be among the very best ever made (at least, before the algorithm stripped the film of its position in the Top 250), but despite the rough quality of the visual effects and the stage play origin, A Dog's Will still cleverly combines screwball comedy with heady concepts about faith. Most of it is very fast-paced, as cross-eyed, silver tongued peasant João (Matheus Nachtergaele)…",0.25
61,sarinhaa,2021/08/27,5.0,"um dos melhores de comédia que eu ja assisti disparado, queria tanto que o brasil voltasse a ter umas comédias assim que não fossem apelativas ao óbvio. e esse filme além de comédia tem uma fotografia e montagem de roteiro muito boa que te prende até o ultimo segundo assistido, e as cenas finais foram o que definitivamente fizeram o filme ficar ainda melhor.  e eu sou a filha perdida do casamento da rosinha com o chicó!",1.25
62,ClinTarantino,2020/04/19,2.5,Puuh. Ex #1 western rated movie is anyhow a western but not really an one for me. The first 30 minutes aren’t that bad and nearly enjoyable but then as more religious the movie gets as more I was out and even more wondered why this is as high rated. Probably the most overrated movie I’ve ever seen. Glad it’s not anymore a western because The good the bad and the ugly is back at the top spot it deserves…,-1.25
63,Sean Burdett,2021/04/05,1.0,"18/100  I really don't feel like talking about this. Every joke fails miserably for me, and I hate the constant objectification of women. There's probably commentary here, but none of it worked for me. If you like this, good for you, but I did not have a good time in the slightest. The set in heaven was kinda cool doe. Wouldn't recommend this to anyone who's not extremely familiar with Brazilian culture.",-2.75
64,sinceblackwidow,2023/01/05,5.0,O maior ato do cinema brasileiro!!!,1.25
